label,01_ppt,02_ppt,03_ppt,04_ppt,05_ppt,06_ppt,07_ppt,08_ppt,09_ppt,10_ppt,11_ppt,12_ppt,13_ppt
Colon,0,0,54,0,0,0,15,37,99,0,3,29,74
Colon,0,0,36,0,0,0,15,0,77,0,4,22,60
Colon,0,0,58,0,0,0,12,0,0,0,5,17,66
Colon,0,0,53,0,0,0,15,28,80,0,6,55,65
Colon,0,0,54,0,0,0,15,98,82,0,4,0,63
Concordia,77,0,112,0,0,0,0,37,52,10,50,0,112
Concordia,77,0,78,0,0,0,0,35,0,0,3,0,22
Concordia,76,0,60,0,0,0,0,46,57,7,50,0,51
Concordia,70,0,121,0,0,0,0,38,59,8,68,0,24
Concordia,64,0,101,0,0,0,0,50,42,25,20,0,25
Concordia,70,0,69,0,0,0,0,28,45,27,259,0,86
Concordia,70,0,69,0,0,0,0,28,45,27,29,0,86
Concordia,69,0,33,0,0,0,0,41,65,24,28,0,92
Diamante,15,0,17,0,0,0,0,0,49,63,46,45,12
Diamante,11,0,22,0,0,0,0,0,27,10,10,37,15
Diamante,12,0,31,0,0,0,0,0,68,84,42,36,14
Federacion,0,0,0,0,0,0,11,0,0,0,0,0,0
Federacion,0,0,117,0,0,0,12,95,126,25,21,28,0
Federacion,0,0,100,0,0,0,12,0,0,0,0,0,0
Federacion,0,0,104,0,0,0,11,0,40,20,29,21,0
Federacion,0,0,0,0,0,0,14,34,136,16,12,9,0
Federacion,0,0,41,0,0,0,12,38,58,0,0,20,0
Federacion,0,0,0,0,0,0,12,35,50,0,4,21,0
Federacion,0,0,0,0,0,0,13,0,92,18,0,21,0
Federacion,0,0,146,0,0,0,13,70,65,10,38,17,0
Federacion,0,0,0,0,0,0,12,33,48,35,6,37,0
Federacion,0,0,0,0,0,0,0,0,40,15,11,20,0
Federal,24,0,25,0,0,0,0,0,65,12,2,83,128
Federal,23,0,28,0,0,0,0,40,71,20,29,88,56
Federal,18,0,25,0,0,0,0,26,78,16,19,88,39
Federal,12,0,25,0,0,0,0,18,87,22,23,88,54
Federal,5,0,22,0,0,0,0,108,46,20,23,50,66
Federal,15,0,23,0,0,0,0,0,69,0,0,50,51
Federal,15,0,26,0,0,0,0,52,110,10,32,96,113
Federal,11,0,25,0,0,0,0,0,58,19,37,93,70
Federal,20,0,21,0,0,0,0,56,87,27,22,60,46
Feliciano,4,0,0,0,0,0,5,0,73,10,40,17,49
Feliciano,0,0,0,0,0,0,4,0,0,16,0,0,34
Feliciano,6,0,0,0,0,0,4,10,158,25,7,11,40
Feliciano,0,0,0,0,0,0,4,10,116,14,11,12,55
Feliciano,5,0,0,0,0,0,5,34,104,20,35,10,43
Feliciano,5,0,0,0,0,0,5,38,111,8,33,35,38
Feliciano,0,0,0,0,0,0,0,31,87,9,16,7,37
Feliciano,0,0,0,0,0,0,2,20,114,17,11,17,45
Feliciano,0,0,0,0,0,0,0,2,55,7,40,40,48
Gualeguay,56,0,0,0,0,0,43,0,0,0,0,0,4
Gualeguay,57,0,0,0,0,0,60,0,0,0,0,0,2
Gualeguay,48,0,0,0,0,0,22,0,0,6,10,0,0
Gualeguay,100,0,0,0,0,0,73,0,0,0,8,0,0
Gualeguay,0,0,0,0,0,0,56,0,0,13,8,0,0
Gualeguachú,0,0,20,0,0,0,22,0,5,0,0,20,116
Gualeguachú,35,0,21,0,0,0,23,25,10,0,19,42,181
Gualeguachú,55,0,25,0,0,0,25,0,12,0,21,55,145
Gualeguachú,38,0,28,0,0,0,22,22,35,0,17,58,170
Gualeguachú,0,0,21,0,0,0,21,0,0,10,14,0,95
Gualeguachú,0,0,25,0,0,0,22,0,0,0,11,0,96
Gualeguachú,40,0,26,0,0,0,24,8,41,35,17,66,185
Gualeguachú,35,0,22,0,0,0,24,37,35,0,21,56,165
Gualeguachú,38,0,22,0,0,0,25,29,35,0,20,57,155
Gualeguachú,20,0,28,0,0,0,25,40,10,0,13,27,122
Gualeguachú,23,0,28,0,0,0,0,35,10,0,15,25,129
Gualeguachú,0,0,56,0,0,0,28,0,0,0,11,0,93
Gualeguachú,0,0,22,0,0,0,0,0,0,1,0,0,94
Gualeguachú,23,0,25,0,0,0,0,45,10,0,0,30,136
Islas del Ibicuy,98,0,104,0,0,0,20,20,0,27,9,30,25
Islas del Ibicuy,99,0,104,0,0,0,15,39,0,29,9,32,30
Islas del Ibicuy,98,0,104,0,0,0,25,30,0,23,8,28,30
Islas del Ibicuy,100,0,105,0,0,0,25,30,0,23,7,21,30
La Paz,7,0,23,0,0,0,4,0,0,40,3,0,53
La Paz,10,0,24,0,0,0,5,0,111,35,52,7,72
La Paz,26,0,25,0,0,0,6,0,95,34,49,2,57
La Paz,0,0,22,0,0,0,4,0,0,14,0,0,50
La Paz,0,0,21,0,0,0,5,0,4,0,5,0,45
La Paz,0,0,25,0,0,0,5,0,0,0,0,0,48
La Paz,5,0,28,0,0,0,6,0,0,0,0,0,48
La Paz,0,0,23,0,0,0,4,0,30,0,0,0,59
La Paz,5,0,21,0,0,0,5,0,64,30,15,0,73
La Paz,0,0,23,0,0,0,7,0,0,0,0,0,53
La Paz,8,0,25,0,0,0,4,0,51,57,27,1,61
La Paz,11,0,21,0,0,0,4,0,59,40,15,8,61
La Paz,6,0,22,0,0,0,4,0,69,14,30,10,90
La Paz,5,0,22,0,0,0,4,0,80,18,15,10,59
Nogoyá,26,0,29,0,0,0,30,68,29,34,14,36,51
Nogoyá,32,0,25,0,0,0,33,98,53,43,17,32,17
Nogoyá,22,0,20,0,0,0,30,50,23,44,17,37,17
Nogoyá,35,0,33,0,0,0,31,15,35,43,24,35,27
Nogoyá,20,0,32,0,0,0,33,60,121,57,35,50,119
Nogoyá,21,0,29,0,0,0,35,50,99,72,18,43,28
Nogoyá,9,0,31,0,0,0,35,56,75,95,15,50,70
Nogoyá,30,0,28,0,0,0,33,62,100,54,32,11,21
Nogoyá,20,0,28,0,0,0,33,0,0,0,15,0,21
Nogoyá,38,0,30,0,0,0,38,67,48,40,30,35,42
Nogoyá,56,0,25,0,0,0,38,21,31,34,18,0,61
Nogoyá,10,0,28,0,0,0,0,0,99,37,21,28,42
Paraná,0,0,25,0,0,0,33,0,0,0,0,0,15
Paraná,15,0,69,0,0,0,32,43,135,55,38,92,213
Paraná,7,0,70,0,0,0,33,17,57,4,38,104,85
Paraná,0,0,25,0,0,0,34,0,0,0,5,0,16
Paraná,0,0,20,0,0,0,32,0,0,0,6,0,15
Paraná,17,0,69,0,0,0,35,16,108,17,32,95,120
Paraná,34,0,62,0,0,0,37,5,10,167,81,119,125
Paraná,0,0,21,0,0,0,32,0,0,0,6,0,12
Paraná,12,0,22,0,0,0,34,23,48,5,21,110,127
Paraná,12,0,36,0,0,0,31,66,84,66,43,60,260
Paraná,20,0,42,0,0,0,35,34,149,48,35,120,147
Paraná,35,0,81,0,0,0,35,28,132,4,19,85,351
Paraná,28,0,44,0,0,0,39,56,100,45,34,119,138
San Salvador,0,0,28,0,0,0,0,42,43,30,16,10,0
Rosario del Tala,0,0,15,0,0,0,0,0,73,108,14,0,188
Rosario del Tala,0,0,12,0,0,0,0,0,63,18,35,0,134
Rosario del Tala,0,0,15,0,0,0,4,0,67,25,24,0,203
Rosario del Tala,0,0,12,0,0,0,0,0,82,91,16,0,200
Rosario del Tala,0,0,18,0,0,0,0,0,21,28,20,5,201
C del Uruguay,35,0,32,0,0,0,0,0,75,14,1,0,0
C del Uruguay,46,0,27,0,0,0,0,0,52,0,0,0,0
C del Uruguay,58,0,33,0,0,0,0,0,71,15,5,0,0
C del Uruguay,65,0,31,0,0,0,0,0,86,0,0,0,0
C del Uruguay,55,0,33,0,0,0,0,0,60,0,4,0,0
C del Uruguay,50,0,27,0,0,0,0,0,43,10,6,0,0
C del Uruguay,44,0,15,0,0,0,0,0,57,0,3,0,0
Victoria,42,0,66,0,0,0,18,48,38,91,23,39,106
Victoria,44,0,30,0,0,0,12,89,41,72,10,41,120
Victoria,30,0,37,0,0,0,0,70,39,54,6,35,52
Victoria,34,0,34,0,0,0,20,84,45,55,36,46,104
Victoria,68,0,28,0,0,0,0,1,38,42,16,17,58
Villaguay,23,0,47,0,0,0,0,50,116,78,12,93,198
Villaguay,87,0,110,0,0,0,0,40,100,22,39,77,138
Villaguay,5,0,25,0,0,0,0,56,68,53,34,68,200
Villaguay,36,0,84,0,0,0,0,52,99,34,38,78,164
Villaguay,19,0,24,0,0,0,0,59,71,87,24,63,162
Villaguay,0,0,28,0,0,0,0,0,18,0,7,0,70
Villaguay,11,0,46,0,0,0,0,50,79,107,18,109,200
Villaguay,26,0,55,0,0,0,0,40,102,45,30,93,201
Villaguay,46,0,61,0,0,0,0,65,81,72,23,73,204
